id,tegningsnummer,revisjon,tittel,malestokk,prosjekt_referanse,filnavn,format,registrert_dato,status
1,TN-2026-0001,B,Dekksplan 2,1:100,PRJ-2044,TN-2026-0001_RevB.pdf,PDF,02.02.2026,Under revisjon
2,TN-2026-0002,C,Rørføring maskinrom 3,1/50,PRJ-2050,TN-2026-0002_RevC.pdf,PDF,03/03/26,Utkast
3,TN-2026-0003,D,Ventilasjonsplan lugar 4,1/20,PRJ-2061,TN-2026-0003_RevD.pdf,PDF,2026-04-04,Godkjent
4,TN-2026-0004,E,Bottom Frame Detail 5,1 : 100,PRJ-2031,TN-2026-0004_RevE.pdf,PDF,05.05.2026,Under revisjon
5,TN-2026-0005,F,Styrehus layout 6,1:200,PRJ-2044,TN-2026-0005_RevF.dwg,DWG,06/06/26,Utkast
6,TN-2026-0006,A,Skottplan 7,1:50,,TN-2026-0006_RevA.pdf,PDF,2026-07-07,Godkjent
7,TN-2026-0007,B,Ankerspill fundament 8,1:100,PRJ-2061,TN-2026-0007_RevB.pdf,PDF,08.08.2026,Under revisjon
8,TN-2026-0008,C,Bridge Panel Layout 1,1/50,PRJ-2031,TN-2026-0008_RevC.pdf,PDF,09/09/26,Utkast
9,TN-2026-0009,D,Baugport detalj 2,1/20,PRJ-2044,TN-2026-0009_RevD.pdf,PDF,2026-10-10,Godkjent
10,TN-2026-0003,E,Kjølrør trase 3,1 : 100,PRJ-2050,TN-2026-0010_RevE.dwg,DWG,11.11.2026,Under revisjon
11,TN-2026-0011,F,Lastelukedetalj 4,1:200,PRJ-2061,TN-2026-0011_RevF.pdf,PDF,12/12/26,Utkast
12,TN-2026-0012,A,Hull Section 5,1:50,PRJ-2031,TN-2026-0012_RevA.pdf,PDF,2026-01-13,Godkjent
13,TN-2026-0013,B,Dekksplan 6,1:100,PRJ-2044,TN-2026-0013_RevB.pdf,PDF,14.02.2026,Under revisjon
14,TN-2026-0014,C,Rørføring maskinrom 7,1/50,PRJ-2050,TN-2026-0014_RevC.pdf,PDF,15/03/26,Utkast
